1501,Mascara/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
698,Sleep Walk/Deftones,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
682,Change (In the House of Flies)/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
660,Be Quiet and Drive (Far Away)/Deftones,"['Jackson_Joe', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
641,Xerces/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
632,Sextape/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
617,Risk/Deftones,"['Jackson_Joe', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
594,Beware/Deftones,"['haimond', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
589,UUDDLRLRABSelectStart/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
587,My Own Summer (Shove It)/Deftones,"['PbzSmith', 'suicidxbladxs']"
582,Cherry Waves/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
572,Entombed/Deftones,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
570,Rivière/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
553,Digital Bath/Deftones,"['haimond', 'Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
544,Rosemary/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
537,Beauty School/Deftones,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
535,Kimdracula/Deftones,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
533,976-EVIL/Deftones,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas']"
531,Diamond Eyes/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
518,Swerve City/Deftones,"['haimond', 'Jackson_Joe', 'suicidxbladxs']"
516,Mein/Deftones,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
508,Back to School (Mini Maggit)/Deftones,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
506,Minerva/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
497,What Happened to You?/Deftones,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
496,Around the Fur/Deftones,"['haimond', 'Jackson_Joe']"
487,Tempest/Deftones,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
484,Hole in the Earth/Deftones,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas']"
479,Knife Prty/Deftones,"['Jackson_Joe', 'suicidxbladxs']"
474,Poltergeist/Deftones,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
466,Ghosts/Deftones,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
466,RX Queen/Deftones,"['haimond', 'suicidxbladxs']"
