weight,name,listeners
-0.1049532294815963,Mascara/Deftones/Around the Fur,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.07829851124938111,No Surprises/Radiohead/OK Computer,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.07030280502040342,Duvet/bôa/Twilight,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.0662265249397921,Be Quiet and Drive (Far Away)/Deftones/Around the Fur,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.05641031748506417,Everlong/Foo Fighters/The Colour and the Shape,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.05571650476662218,Karma Police/Radiohead/OK Computer,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.05127588713759606,Change (In the House of Flies)/Deftones/White Pony,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.05064617370998313,Cherry Waves/Deftones/Saturday Night Wrist,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.04597799555631667,My Own Summer (Shove It)/Deftones/Around the Fur,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.04577188064036667,Swerve City/Deftones/Koi No Yokan,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.045324637300895435,When the Sun Hits/Slowdive/Souvlaki,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.04507229894282306,Walkin/Denzel Curry/Melt My Eyez See Your Future,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.04430610492968145,Kimdracula/Deftones/Saturday Night Wrist,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.04286170080514161,Youngest Daughter/Superheaven/Jar,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.04050118818767327,INDUSTRY BABY (feat. Jack Harlow)/Lil Nas X/MONTERO,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.04036273925976304,Creep/Radiohead/Pablo Honey,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03958363579298267,Sextape/Deftones/Diamond Eyes,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.03898326568060122,Jigsaw Falling Into Place/Radiohead/In Rainbows,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.038450606774326004,Rivière/Deftones/Saturday Night Wrist,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.037287932232473814,Xerces/Deftones/Saturday Night Wrist,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.035718097163925926,Please Please Please Let Me Get What I Want - 2005 Remaster/Deftones/Covers,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03552559300571272,Covet/Basement/Colourmeinkindness,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03550037514325331,Alison/Slowdive/Souvlaki,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03515127148259512,Rosemary/Deftones/Koi No Yokan,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs']"
-0.03398051037934748,Faint/Linkin Park/Meteora,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.033557733945874635,Beware/Deftones/Saturday Night Wrist,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03211488604034354,976-EVIL/Deftones/Diamond Eyes,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.031381235924110656,Around the Fur/Deftones/Around the Fur,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03137193810793878,Don't Look Back In Anger - Remastered/Oasis/(What's the Story) Morning Glory? [Remastered],"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.03127431219092881,Cigarettes out the Window/TV Girl/Who Really Cares,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.030614703567214928,Kono Speed No Saki E/MASS OF THE FERMENTING DREGS/World Is Yours,"['Jackson_Joe', 'PbzSmith', 'haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.030319137932706096,Entombed/Deftones/Koi No Yokan,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.029559910879342618,When You Sleep/my bloody valentine/Loveless,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.029516404815728092,Poltergeist/Deftones/Koi No Yokan,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.028836336970966714,Black Hole Sun/Soundgarden/Superunknown (20th Anniversary),"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.028780923770906092,Minerva/Deftones/Deftones,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.028606355247877732,OMG/NewJeans/NewJeans 'OMG',"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.028530884353483756,Mein/Deftones/Saturday Night Wrist,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.027746247758154947,Dai the Flu/Deftones/Around the Fur,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.02772067197252143,Risk/Deftones/Diamond Eyes,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.027022398967661003,One Step Closer/Linkin Park/Hybrid Theory (Bonus Edition),"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.026480602735228988,HOLIDAY/Lil Nas X/HOLIDAY,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.02618993842082655,Digital Bath/Deftones/White Pony,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.026109023442221786,"Aoi, Koi, Daidaiiro no Hi/MASS OF THE FERMENTING DREGS/World Is Yours","['Jackson_Joe', 'PbzSmith', 'haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.025365334840006217,Romantic Dreams/Deftones/Koi No Yokan,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.025206822032582052,"U,U,D,D,L,R,L,R,A,B,Select,Start/Deftones/Saturday Night Wrist","['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.024764693357871473,Californication/Red Hot Chili Peppers/Californication (Deluxe Edition),"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.024563907326742646,Diamond Eyes/Deftones/Diamond Eyes,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.024541010415682823,"See You Again (feat. Kali Uchis)/Tyler, the Creator/Flower Boy","['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.024444064004218898,Passenger/Deftones/White Pony,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.024129808575145646,Helena/My Chemical Romance/Three Cheers for Sweet Revenge,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.023971245744716926,Super Shy/NewJeans/NewJeans 2nd EP 'Get Up',"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-0.023910359316775046,If We Being Rëal/Yeat/2093,"['Jackson_Joe', 'haimond', 'suicidxbladxs']"
-0.02389572277819978,It's Going Down Now/Azumi Takahashi/Persona 3 Reload Original Soundtrack,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.023813288607699653,This Charming Man - 2011 Remaster/The Smiths/The Smiths,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.023682966398476876,Bring Me to Life/Evanescence/Fallen,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.02359168816616528,delusionalism/MASS OF THE FERMENTING DREGS/Mass Of The Fermenting Dregs,"['Jackson_Joe', 'PbzSmith', 'haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.023262094759056356,Leathers/Deftones/Koi No Yokan,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.023258493512849764,Pink + White/Frank Ocean/Blonde,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.023066736974366744,Rats!Rats!Rats!/Deftones/Saturday Night Wrist,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.02302153872301222,This Place Is Death/Deftones/Diamond Eyes,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.022995955766231743,Let Down/Radiohead/OK Computer,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.02294653891666424,"NOID/Tyler, the Creator/Chromakopia","['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.022853012121334473,Danny's Dream/Lars Gullin/Fäbodjazz,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.022765894923317022,Boys Don't Cry/The Cure/Three Imaginary Boys,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.022745884626583196,"EARFQUAKE/Tyler, the Creator/IGOR","['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.022671032404590966,40 Days/Slowdive/Souvlaki,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.02247541214236879,Eyes Without a Face/Billy Idol/Rebel Yell,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.022332070553829755,Hole in the Earth/Deftones/Saturday Night Wrist,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.022282532816369112,Prince/Deftones/Diamond Eyes,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.02206116329227061,"Heartbeat, Heartbreak/平田志穂子/ペルソナ4 オリジナル・サウンドトラック","['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
